text,source,label,tokens,lda_topic
"“If a person succumbs to their injuries, an autopsy in carried out. In this case of sudden death, 
biological samples are collected and sent for toxicology analyses. The findings are then 
reported and sent to the pathologist to determine factors contributing to death.",alcohol,alcohol_1,"['person', 'succumbs', 'injuries', 'autopsy', 'carried', 'case', 'sudden', 'death', 'biological', 'samples', 'collected', 'sent', 'toxicology', 'analyses', 'findings', 'reported', 'sent', 'pathologist', 'determine', 'factors', 'contributing', 'death']",0
"“In 2012, four men who presented for services said their primary drug of choice was alcohol; 
whereas, there were no women in treatment who said their primary drug of choice was 
alcohol during the same time period.",alcohol,alcohol_1,"['four', 'men', 'presented', 'services', 'said', 'primary', 'drug', 'choice', 'alcohol', 'whereas', 'women', 'treatment', 'said', 'primary', 'drug', 'choice', 'alcohol', 'time', 'period']",3
"• 
Accident victims who have been drinking suffer more serious injuries than those who 
haven’t (8).",alcohol,alcohol_1,"['accident', 'victims', 'drinking', 'suffer', 'serious', 'injuries']",2
"10- http://santiagotimes.cl/more-chileans-die-from-alcohol-than-in-traffic-accidents/ 
Health & Environment News 
More Chileans Die From Alcohol Than In Traffic Accidents 
By Editor  
Published On: Thu, Feb 17th, 2011 
More Chileans die each year from alcohol-related liver cirrhosis than in car accidents, a recent 
World Health Organization (WHO) study found. 
The average alcohol consumption of Chileans over the age of 15 is 37 percent higher than the 
world average of 6.1 liters per year. 
Chileans on average consume 8.6 liters of alcohol each year, and habitual drinkers consume 
12.6 liters each year. Chile’s rates of alcohol consumption are the seventh highest among the 
22 countries of North, Central, and South America. 
The most popular alcoholic drink in Chile is wine, accounting for 38 percent of consumption. 
initiation and the development of alcohol dependence at various lifestages will foster 
the rational design of prevention strategies tailored to each individual. The potential 
risks associated with driving after drug use, particularly in combination with alcohol, 
need to be examined so that effective prevention initiatives are identified.",alcohol,alcohol_0,"['http', 'health', 'environment', 'news', 'chileans', 'die', 'alcohol', 'traffic', 'accidents', 'editor', 'published', 'thu', 'feb', 'chileans', 'die', 'year', 'liver', 'cirrhosis', 'car', 'accidents', 'recent', 'world', 'health', 'organization', 'study', 'found', 'average', 'alcohol', 'consumption', 'chileans', 'age', 'percent', 'higher', 'world', 'average', 'liters', 'per', 'year', 'chileans', 'average', 'consume', 'liters', 'alcohol', 'year', 'habitual', 'drinkers', 'consume', 'liters', 'year', 'chile', 'rates', 'alcohol', 'consumption', 'seventh', 'highest', 'among', 'countries', 'north', 'central', 'south', 'america', 'popular', 'alcoholic', 'drink', 'chile', 'wine', 'accounting', 'percent', 'consumption', 'initiation', 'development', 'alcohol', 'dependence', 'various', 'lifestages', 'foster', 'rational', 'design', 'prevention', 'strategies', 'tailored', 'individual', 'potential', 'risks', 'associated', 'driving', 'drug', 'use', 'particularly', 'combination', 'alcohol', 'need', 'examined', 'effective', 'prevention', 'initiatives', 'identified']",3
"8- http://www.kidzworld.com/article/9591-the-facts-on-drunk-driving 
The Facts on Drunk Driving 
Love 
December marks the time to observe Drunk and Drugged Driving Prevention Month, so 
Kidzworld is bringing you the cold, hard facts on drinking and driving.",alcohol,alcohol_0,"['http', 'facts', 'drunk', 'driving', 'love', 'december', 'marks', 'time', 'observe', 'drunk', 'drugged', 'driving', 'prevention', 'month', 'kidzworld', 'bringing', 'cold', 'hard', 'facts', 'drinking', 'driving']",2
"• 
Don't be embarrassed to ask your parents for rides. Even if you worry you'll be in 
trouble for underage drinking, that sure beats being killed in a car accident.",alcohol,alcohol_1,"['embarrassed', 'ask', 'parents', 'rides', 'even', 'worry', 'trouble', 'underage', 'drinking', 'sure', 'beats', 'killed', 'car', 'accident']",2
"“Drink driving is the main cause of traffic accidents today, and now with the increasing 
number of vehicles in Honiara, the chances of more and more traffic accidents relating to 
alcohol abuse are likely to increase.",alcohol,alcohol_0,"['drink', 'driving', 'main', 'cause', 'traffic', 'accidents', 'today', 'increasing', 'number', 'vehicles', 'honiara', 'chances', 'traffic', 'accidents', 'relating', 'alcohol', 'abuse', 'likely', 'increase']",3
"The NHTSA has only recently started tracking deaths caused by distracted driving, and say 
it’s still working on improving how it captures and quantifies data. This year it estimates that 
deaths from distracted driving ticked down to 3,328 from 3,360 while injuries from distracted 
driving increased 9 percent to about 421,000. 
Mississippi topped the list of states that saw the biggest reduction in auto-related fatalities, 
while New Jersey saw the biggest decline in alcohol-related fatal accidents. 
Since the NHTSA began tracking this metric in 1976, clusters of quarterly year-over-year 
declines in highway fatalities have take place in periods of time that have included economic 
recessions. Do GDP retreats reduce highway fatalities?  NHTSA 
It’s interesting to note that since 1976 the year-over-year quarterly reductions in the number 
of fatalities on U.S. highways occurred in periods that continued economic recessions. Now, 
correlation doesn’t imply causation, but it would make sense if there was, say, less cargo 
movement on the nation’s highways, or fewer road trips from cash- strapped Americans. If 
that’s the case then economic recessions have their bright sides in the form of less blood on 
the pavement.",alcohol,alcohol_0,"['nhtsa', 'recently', 'started', 'tracking', 'deaths', 'caused', 'distracted', 'driving', 'say', 'still', 'working', 'improving', 'captures', 'quantifies', 'data', 'year', 'estimates', 'deaths', 'distracted', 'driving', 'ticked', 'injuries', 'distracted', 'driving', 'increased', 'percent', 'mississippi', 'topped', 'list', 'states', 'saw', 'biggest', 'reduction', 'fatalities', 'new', 'jersey', 'saw', 'biggest', 'decline', 'fatal', 'accidents', 'since', 'nhtsa', 'began', 'tracking', 'metric', 'clusters', 'quarterly', 'declines', 'highway', 'fatalities', 'take', 'place', 'periods', 'time', 'included', 'economic', 'recessions', 'gdp', 'retreats', 'reduce', 'highway', 'fatalities', 'nhtsa', 'interesting', 'note', 'since', 'quarterly', 'reductions', 'number', 'fatalities', 'highways', 'occurred', 'periods', 'continued', 'economic', 'recessions', 'correlation', 'imply', 'causation', 'would', 'make', 'sense', 'say', 'less', 'cargo', 'movement', 'nation', 'highways', 'fewer', 'road', 'trips', 'strapped', 'americans', 'case', 'economic', 'recessions', 'bright', 'sides', 'form', 'less', 'blood', 'pavement']",3
"“Leave early, drive slowly and arrived safely,” he advises. Animals also worry Traffic 
Department in the Ancient County. 
In fact, several accidents, including fatalities, are caused by animals roaming the streets. 
Three of the fatalities so far were as a result of animals, including the only double fatality, 
involving two cars on the East Canje Public Road.",alcohol,alcohol_0,"['leave', 'early', 'drive', 'slowly', 'arrived', 'safely', 'advises', 'animals', 'also', 'worry', 'traffic', 'department', 'ancient', 'county', 'fact', 'several', 'accidents', 'including', 'fatalities', 'caused', 'animals', 'roaming', 'streets', 'three', 'fatalities', 'far', 'result', 'animals', 'including', 'double', 'fatality', 'involving', 'two', 'cars', 'east', 'canje', 'public', 'road']",0
"• 
Of particular importance for prevention efforts is the recent realization that alcohol 
abuse, dependence, and related problems such as alcohol-impaired driving must be 
addressed throughout the lifespan, not just at middle age.",alcohol,alcohol_0,"['particular', 'importance', 'prevention', 'efforts', 'recent', 'realization', 'alcohol', 'abuse', 'dependence', 'related', 'problems', 'driving', 'must', 'addressed', 'throughout', 'lifespan', 'middle', 'age']",2
"2- http://www.drinkaware.co.uk/check-the-facts/effects-on-your-safety/alcohol-related-
accidents/ 
Alcohol related accidents 
Spilling red wine over your friend’s pristine white sofa. Breaking another wine glass all over 
the floor. Tripping up your front steps. 
Drinking can make us prone to minor accidents that almost seem part of your average night. 
But alcohol can be the cause of more serious accidents too. 
There are two main things which make this likely. Because it’s a depressant, alcohol slows 
down the brain and affects the body’s responses. At the same time, if you’ve been drinking, 
you’re more likely to take risks. Combined, these reactions increase the chance of accidents 
happening. 
1. The more you drink, the more likely you are to have an accident",alcohol,alcohol_0,"['http', 'alcohol', 'related', 'accidents', 'spilling', 'red', 'wine', 'friend', 'pristine', 'white', 'sofa', 'breaking', 'another', 'wine', 'glass', 'floor', 'tripping', 'front', 'steps', 'drinking', 'make', 'us', 'prone', 'minor', 'accidents', 'almost', 'seem', 'part', 'average', 'night', 'alcohol', 'cause', 'serious', 'accidents', 'two', 'main', 'things', 'make', 'likely', 'depressant', 'alcohol', 'slows', 'brain', 'affects', 'body', 'responses', 'time', 'drinking', 'likely', 'take', 'risks', 'combined', 'reactions', 'increase', 'chance', 'accidents', 'happening', 'drink', 'likely', 'accident']",3
"responsible. Nevertheless, the pattern is the same: responsibility for accidents increases with 
intoxication. 2 
How many drunk drivers would have had accidents if they were sober? Again, no one knows. 
But one expert, James Hedlund, has identified three broad types of drinking drivers, for whom 
the answer probably differs: 
1. “normal” drivers who are social drinkers. Such drivers may miscalculate the effects of 
alcohol on their performance. Dr. Hedlund asserts that alcohol increases their crash 
risk and their crash rates would decrease substantially if they did not drive after 
drinking, 
2. “high-risk” drivers. These are frequent drinkers, for whom alcohol abuse “may be just 
another manifestation of risk-taking behavior or may enable this behavior by removing 
what inhibitions they have.” Abstaining may not reduce their crash rates much, and 
3. alcoholics, for whom alcohol abuse is an integral part of life Abstaining would require 
a complete lifestyle change. If they abstained, their crash rates should drop 
significantly. 3 
Dr. Hedlund observes that 
The three groups are affected differently by measures to limit drinking and driving. “Normal” 
drivers can be deterred by the legal consequences of arrest and sanction for impaired driving 
and also can be affected by education and prevention methods. Arguably, much of the 
reduction in alcohol-involved crashes may have come from changes in the behavior of this 
group. In contrast, alcoholics are unlikely to be affected by anything that does not deal 
directly with their alcoholism. Traffic safety can play an important role by screening DWI 
offenders for alcohol problems and assuring that they are referred to treatment as appropriate, 
but other traffic safety measures are unlikely to have much effect. “High-risk” drivers are 
perhaps the hardest group to affect. Deterrence, even arrest and punishment, may have little 
influence on their behavior. Some high-risk behavior is outgrown as drivers mature. However, 
since high-risk behavior is rooted so deeply in some drivers’ personalities, any change 
requires measures for broader than those available to traffic safety. 4 
Although it appears to be significant, the proportion of alcohol-involved traffic accidents that 
would have occurred even if the drivers had been sober remains unknown.",alcohol,alcohol_0,"['responsible', 'nevertheless', 'pattern', 'responsibility', 'accidents', 'increases', 'intoxication', 'many', 'drunk', 'drivers', 'would', 'accidents', 'sober', 'one', 'knows', 'one', 'expert', 'james', 'hedlund', 'identified', 'three', 'broad', 'types', 'drinking', 'drivers', 'answer', 'probably', 'differs', 'normal', 'drivers', 'social', 'drinkers', 'drivers', 'may', 'miscalculate', 'effects', 'alcohol', 'performance', 'hedlund', 'asserts', 'alcohol', 'increases', 'crash', 'risk', 'crash', 'rates', 'would', 'decrease', 'substantially', 'drive', 'drinking', 'drivers', 'frequent', 'drinkers', 'alcohol', 'abuse', 'may', 'another', 'manifestation', 'behavior', 'may', 'enable', 'behavior', 'removing', 'inhibitions', 'abstaining', 'may', 'reduce', 'crash', 'rates', 'much', 'alcoholics', 'alcohol', 'abuse', 'integral', 'part', 'life', 'abstaining', 'would', 'require', 'complete', 'lifestyle', 'change', 'abstained', 'crash', 'rates', 'drop', 'significantly', 'hedlund', 'observes', 'three', 'groups', 'affected', 'differently', 'measures', 'limit', 'drinking', 'driving', 'normal', 'drivers', 'deterred', 'legal', 'consequences', 'arrest', 'sanction', 'impaired', 'driving', 'also', 'affected', 'education', 'prevention', 'methods', 'arguably', 'much', 'reduction', 'crashes', 'may', 'come', 'changes', 'behavior', 'group', 'contrast', 'alcoholics', 'unlikely', 'affected', 'anything', 'deal', 'directly', 'alcoholism', 'traffic', 'safety', 'play', 'important', 'role', 'screening', 'dwi', 'offenders', 'alcohol', 'problems', 'assuring', 'referred', 'treatment', 'appropriate', 'traffic', 'safety', 'measures', 'unlikely', 'much', 'effect', 'drivers', 'perhaps', 'hardest', 'group', 'affect', 'deterrence', 'even', 'arrest', 'punishment', 'may', 'little', 'influence', 'behavior', 'behavior', 'outgrown', 'drivers', 'mature', 'however', 'since', 'behavior', 'rooted', 'deeply', 'drivers', 'personalities', 'change', 'requires', 'measures', 'broader', 'available', 'traffic', 'safety', 'although', 'appears', 'significant', 'proportion', 'traffic', 'accidents', 'would', 'occurred', 'even', 'drivers', 'sober', 'remains', 'unknown']",2
"Alcohol Plays “Major Role” In Traffic Fatalities 
November 23, 2013 | 98 Comments 
A new study by the Department of Health [DOH] confirmed that alcohol plays a major role in 
Bermuda’s road traffic fatalities. 
The study, entitled, “The Influence of Alcohol in Road Traffic Accidents and Fatalities in 
Bermuda over the Past Three Years” also found that there is a correlation between heart 
disease and excessive or prolonged alcohol consumption. 
The findings of the study were made available for the Annual Meeting of the Bermuda Drug 
Information Network [BerDIN] on October 24th 2013. 
The Ministry said, “Alcohol is one of the underlying causes in accidents of all types, whether 
domestic, recreational or control of vehicles [e.g. motor cycles, motor cars or marine 
vehicles]. Under the Road Traffic Act 1947, Bermuda’s legal blood alcohol limit is 80 
milligrams per 100 milliliters.“The aim of this DOH study was to determine if there is a 
correlation between blood alcohol levels in drivers of vehicles involved in road traffic 
accidents and fatalities and also to determine if there is some correlation between alcohol and 
morbidity rates. The information used was taken from pathology and toxicology findings from 
2010 to present.",alcohol,alcohol_1,"['alcohol', 'plays', 'major', 'role', 'traffic', 'fatalities', 'november', 'comments', 'new', 'study', 'department', 'health', 'doh', 'confirmed', 'alcohol', 'plays', 'major', 'role', 'bermuda', 'road', 'traffic', 'fatalities', 'study', 'entitled', 'influence', 'alcohol', 'road', 'traffic', 'accidents', 'fatalities', 'bermuda', 'past', 'three', 'years', 'also', 'found', 'correlation', 'heart', 'disease', 'excessive', 'prolonged', 'alcohol', 'consumption', 'findings', 'study', 'made', 'available', 'annual', 'meeting', 'bermuda', 'drug', 'information', 'network', 'berdin', 'october', 'ministry', 'said', 'alcohol', 'one', 'underlying', 'causes', 'accidents', 'types', 'whether', 'domestic', 'recreational', 'control', 'vehicles', 'motor', 'cycles', 'motor', 'cars', 'marine', 'vehicles', 'road', 'traffic', 'act', 'bermuda', 'legal', 'blood', 'alcohol', 'limit', 'milligrams', 'per', 'aim', 'doh', 'study', 'determine', 'correlation', 'blood', 'alcohol', 'levels', 'drivers', 'vehicles', 'involved', 'road', 'traffic', 'accidents', 'fatalities', 'also', 'determine', 'correlation', 'alcohol', 'morbidity', 'rates', 'information', 'used', 'taken', 'pathology', 'toxicology', 'findings', 'present']",3
"“We will fight to stop it therefore we urge all drivers and pedestrians to abide by all traffic 
rules and regulations,” Inspector Menesa said. 
By JEREMY INIFIRI 
5- http://www.hightimes.com/read/studies-alcohol%E2%80%99s-role-auto-accidents-
far-greater-cannabis 
Studies: Alcohol’s Role In Auto Accidents Far Greater Than That Of Cannabis 
Alcohol remains far and away the most prevalent drug present in the blood of drivers involved 
in severe or fatal traffic accidents, according to a pair of recently published European studies. 
In one study, published in the October issue of the journal Accident Analysis and Prevention, 
Danish researchers assessed the overall risk of a driver being severely injured in an accident 
after having consumed alcohol, illicit substances, or various types of pharmaceutical drugs,",alcohol,alcohol_0,"['fight', 'stop', 'therefore', 'urge', 'drivers', 'pedestrians', 'abide', 'traffic', 'rules', 'regulations', 'inspector', 'menesa', 'said', 'jeremy', 'inifiri', 'http', 'studies', 'alcohol', 'role', 'auto', 'accidents', 'far', 'greater', 'cannabis', 'alcohol', 'remains', 'far', 'away', 'prevalent', 'drug', 'present', 'blood', 'drivers', 'involved', 'severe', 'fatal', 'traffic', 'accidents', 'according', 'pair', 'recently', 'published', 'european', 'studies', 'one', 'study', 'published', 'october', 'issue', 'journal', 'accident', 'analysis', 'prevention', 'danish', 'researchers', 'assessed', 'overall', 'risk', 'driver', 'severely', 'injured', 'accident', 'consumed', 'alcohol', 'illicit', 'substances', 'various', 'types', 'pharmaceutical', 'drugs']",2
